stop_name_validation,latitude,longitude
ABBESSES,48.87969807973488,2.459974051893942
ANATOLE FRANCE,48.84859469437839,2.2848672285442975
ANGERVILLE,48.311605620382146,2.0037505317720075
ANVERS,48.882868568843925,2.3441548403302916
ARGENTINE,48.8757667442618,2.288752341458259
AUBER,48.87230087870925,2.329454716971651
AVRON,48.84985109729766,2.498955844414726
BALARD,48.83666789483108,2.2783626618092008
BASTILLE,48.85196422011205,2.368692796099789
BEL AIR,48.81415804711763,2.228256084054749
BELLEVILLE,48.87216066087861,2.3773051512212278
BELLEVUE,48.948437395081626,2.556137604077459
BERCY,48.82757357495845,2.393030426742303
BEYNES,48.978699955192305,1.6894937730717143
BILLANCOURT,48.83191997405451,2.237891101038026
BONNE NOUVELLE,48.87056238091085,2.3484951102399507
BOTZARIS,48.87944952113399,2.3888943184780507
BOULEVARD VICTOR,48.83368707530021,2.2867108113611416
BROCHANT,48.89062201554889,2.3201902468999456
BRUNOY,48.69954067305679,2.5060223202300356
BUZENVAL,48.91624769567262,2.178737957860779
CADET,48.87565538300022,2.3424186727896736
CAMBRONNE,48.847175368698444,2.3015703282134505
CHANTELOUP,48.673239359719595,2.325690666216166
CHAPONVAL,49.069127824401804,2.1410848292610347
CHARONNE,48.854939443448494,2.384782396448888
CHARTRETTES,48.48701587175729,2.6952691308240335
CHEVILLY-LARUE,48.7593645440435,2.3661577149109627
COLONEL FABIEN,48.849379952131486,2.331965622182959
COMMERCE,48.84463784771031,2.293687475167137
CONCORDE,48.84481946702273,2.392041903404279
CONVENTION,48.85262388313521,2.3355767791955873
CORMEILLES,48.90961712732201,2.128729936605441
COURONNES,48.86859287570771,2.3806922843979317
DAUMESNIL,48.74521473251034,2.4053872899316553
DOMONT,49.03284003832482,2.3371269712571614
DUGOMMIER,48.83874781887546,2.3885404332620377
DUROC,48.84716113870455,2.3162330710214363
EDGAR QUINET,48.81940165644467,2.412186924821161
ESBLY,48.902895083058525,2.809640025507793
ETIENNE MARCEL,48.8177864307953,2.1635610656351933
EUROPE,48.87643188033497,2.0678844939924494
GALLIENI,48.836254896822474,2.358006477023895
GAMBETTA,48.83925447675425,2.4472510827241685
GARE DE L'EST,48.876012441542244,2.3582205181233813
GARE DE LYON,48.843412822797156,2.3741104576711205
GARE DU NORD,48.880925193850345,2.3572777464508925
GARIBALDI,48.82942579490788,2.351325705591674
GAZERAN,48.62422721999581,1.8254804396853164
GEORGE V,48.87181549270416,2.301199033500362
GRAVIGNY BALIZY,48.68619709283594,2.3173195266960644
GUILLERVAL,48.37428478563944,2.0597027321607784
HOCHE,48.891495749437304,2.403114154894396
HOUDAN,48.79602555328117,1.6021344463889766
IGNY,48.74084886110891,2.230807643224045
INVALIDES,48.86147072476321,2.3148048779411203
JAVEL,48.84608215562415,2.277261400177238
JUSSIEU,48.846197891637004,2.3549316718232256
LA CHAPELLE,48.86945085583536,1.8716961496689781
LA DHUYS,48.91574474015708,2.590203993678074
LA FOURCHE,48.81935755189603,2.285052213798041
LA MUETTE,48.84501521941476,2.195243837471317
LE PELETIER,48.874392977287094,2.3385489252498606
LEDRU-ROLLIN,48.85133776679838,2.3761412233185926
LES COURTILLES,48.93120707017539,2.283770070757787
LES GOBELINS,48.83633556948254,2.351456983340162
LES SABLONS,48.633302726480046,2.804554560028901
LONGJUMEAU,48.70239567385033,2.2939520027613325
LONGUEVILLE,48.5139215478158,3.2498913158304554
LOUIS BLANC,48.88117537792649,2.3641225257011467
LOUISE MICHEL,48.846052709681395,2.0972715512871534
LOUVECIENNES,48.8612602848357,2.1227777344789676
LUXEMBOURG,48.84703672668505,2.3405313651079487
LUZARCHES,49.117099228494695,2.4200435326085863
MABILLON,48.85284373829949,2.335142819346476
MADELEINE,48.89014462597518,2.4897858271414743
MAIRIE D'ISSY,48.82528856152981,2.2735450108766955
MAISON BLANCHE,48.875716986178716,2.1674210279998993
MANTES STATION,48.98155957352412,1.716079078782961
MARCEL SEMBAT,48.802954719451776,2.2008545629545684
MAROLLES,48.581433241372046,3.24578006676396
MARX DORMOY,48.7085552704758,2.43171911489241
MAURECOURT,48.986862412057214,2.059634534011659
MICHEL BIZOT,48.83700188084579,2.4025460821835702
MIRABEAU,48.84707750734599,2.2730641263728333
MONCEAU,48.892485273752676,2.2387325294781073
MONTEREAU,48.52011425893262,2.7597427319547854
MONTGALLET,48.8440641552825,2.39052195642492
MONTGEROULT,49.08100621163938,2.004965622114461
MONTREUIL,48.80492824959933,2.1446941105398962
MORMANT,48.61409277056721,2.88807855133882
NATION,48.84845279707999,2.3957988351125254
NATIONALE,48.833067996193066,2.3626352464800586
NOISIEL,48.8437868487032,2.6161816947028274
OBERKAMPF,48.86487188759515,2.3682236708807456
OSNY,49.06281914403825,2.0581556508746317
PARC DE SCEAUX,48.77838057336319,2.3030490524848157
PARMENTIER,48.91946166627007,2.6136889986002823
PASTEUR,48.78554236964994,2.363700064979649
PELLEPORT,48.86637175004486,2.402863517809701
